Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
11-12-2019,17:27,ORGANIGRAM HOLDINGS INC. - COMMON SHARES,CA68620P1018,NDQ,ARCX,750,2.5800,USD,-1935.00,USD,-1744.03,EUR,1.1095,-3.21,EUR,-1747.24,EUR,dd7b2450-afa1-466a-ac44-aad8662b08e9
21-11-2019,11:25,ABENGOA SA- B SHARES,ES0105200002,MAD,XMAD,10000,0.0091,EUR,-91.00,EUR,-91.00,EUR,,-2.05,EUR,-93.05,EUR,0b346bd6-5cea-4549-b848-a42e494a25fc
14-11-2019,16:04,AIR LIQUIDE,FR0000120073,EPA,XPAR,17,119.5500,EUR,-2032.35,EUR,-2032.35,EUR,,-5.18,EUR,-2037.53,EUR,0558aa39-80d4-4337-9fc6-75bcd053ba5d
08-11-2019,15:30,META PLATFORMS INC,US30303M1027,NDQ,XNAS,9,190.0900,USD,-1710.81,USD,-1551.76,EUR,1.1025,-0.53,EUR,-1552.29,EUR,3aa41d8c-3514-49a7-805d-a9039e6c6fb3
06-11-2019,18:11,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-60,81.2300,USD,4873.80,USD,4402.31,EUR,1.1071,-0.22,EUR,4402.09,EUR,5eda183c-aa8d-4cc9-a663-6bdc7447c452
06-11-2019,18:11,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-12,81.2500,USD,975.00,USD,880.68,EUR,1.1071,-0.54,EUR,880.14,EUR,5eda183c-aa8d-4cc9-a663-6bdc7447c452
06-11-2019,17:22,EXACT SCIENCES CORPORA,US30063P1057,NDQ,BATS,24,81.8300,USD,-1963.92,USD,-1773.78,EUR,1.1072,-0.09,EUR,-1773.87,EUR,fb48675b-d634-4178-9307-b269da44104e
06-11-2019,17:22,EXACT SCIENCES CORPORA,US30063P1057,NDQ,BATS,39,81.8300,USD,-3191.37,USD,-2882.38,EUR,1.1072,-0.14,EUR,-2882.52,EUR,fb48675b-d634-4178-9307-b269da44104e
06-11-2019,17:22,EXACT SCIENCES CORPORA,US30063P1057,NDQ,BATS,9,81.8300,USD,-736.47,USD,-665.16,EUR,1.1072,-0.53,EUR,-665.69,EUR,fb48675b-d634-4178-9307-b269da44104e
05-11-2019,16:28,PAYPAL HOLDINGS INC.,US70450Y1038,NDQ,XNAS,-59,100.8300,USD,5948.97,USD,5371.05,EUR,1.1076,-0.71,EUR,5370.34,EUR,07cbc4f4-9d41-4627-ad4c-0534ae71a081
04-11-2019,15:44,AIR LIQUIDE,FR0000120073,EPA,XPAR,34,118.7000,EUR,-4035.80,EUR,-4035.80,EUR,,-6.34,EUR,-4042.14,EUR,2cbaf0b0-87b3-4f01-8d82-3196bb4dd6ae
31-10-2019,17:01,ALPHABET INC. - CLASS A,US02079K3059,NDQ,ARCX,6,1250.0000,USD,-7500.00,USD,-6721.64,EUR,1.1158,-0.52,EUR,-6722.16,EUR,a599fd81-4b1a-4cde-bf85-bbcd3f70edbb
30-10-2019,14:38,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,-1,1251.2500,USD,1251.25,USD,1126.45,EUR,1.1108,,EUR,1126.45,EUR,72d53f4f-7102-48f4-92e7-e6678a20e2ff
30-10-2019,14:38,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,-2,1251.2600,USD,2502.52,USD,2252.90,EUR,1.1108,-0.01,EUR,2252.89,EUR,72d53f4f-7102-48f4-92e7-e6678a20e2ff
30-10-2019,14:38,ALPHABET INC. - CLASS A,US02079K3059,NDQ,XNAS,-3,1251.3700,USD,3754.11,USD,3379.65,EUR,1.1108,-0.51,EUR,3379.14,EUR,72d53f4f-7102-48f4-92e7-e6678a20e2ff
30-10-2019,14:30,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-46,85.1000,USD,3914.60,USD,3525.09,EUR,1.1105,-0.17,EUR,3524.92,EUR,493404f8-45fa-42e7-bab6-61776eb3f54c
30-10-2019,14:30,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-7,85.1000,USD,595.70,USD,536.43,EUR,1.1105,-0.53,EUR,535.90,EUR,493404f8-45fa-42e7-bab6-61776eb3f54c
29-10-2019,17:59,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,53,90.9700,USD,-4821.41,USD,-4340.10,EUR,1.1109,-0.69,EUR,-4340.79,EUR,6213cbcf-ac3e-407d-98b2-86881156f1a0
29-10-2019,15:48,EXACT SCIENCES CORPORA,US30063P1057,NDQ,XNAS,-53,90.1100,USD,4775.83,USD,4299.07,EUR,1.1109,-0.69,EUR,4298.38,EUR,514a1857-3b2c-4385-955d-732752ecc9f7
23-10-2019,21:24,EXACT SCIENCES CORPORA,US30063P1057,NDQ,ARCX,53,87.1300,USD,-4617.89,USD,-4147.56,EUR,1.1134,-0.69,EUR,-4148.25,EUR,ff484547-b4a5-4ad6-916d-e7feb23747c1
