Fecha;Hora;Producto;ISIN;Ticker;Bolsa;Exchange Yahoo;Exchange Google;Cantidad;Precio;Precio Divisa;Valor Local;Valor Local Divisa;Valor;Valor Divisa;Tipo de cambio;Costes Transacción;Costes Transacción Divisa;Total;Total Divisa
1515024000000;15:30;META PLATFORMS INC;US30303M1027;META;NDQ;;NASDAQ;13;185.0;USD;-2405.0;USD;-1993.75;EUR;1.2063;-0.54;EUR;-1994.29;EUR
1515110400000;16:31;AMADEUS IT;ES0109067019;;MAD;.MC;;50;62.94;EUR;-3147.0;EUR;-3147.0;EUR;;-3.26;EUR;-3150.26;EUR
1515110400000;16:34;AMADEUS IT;ES0109067019;;MAD;.MC;;3;62.9;EUR;-188.7;EUR;-188.7;EUR;;-2.08;EUR;-190.78;EUR
1515456000000;19:01;AMAZON.COM INC. - COM;US0231351067;;NDQ;;;2;1250.06;USD;-2500.12;USD;-2097.1;EUR;1.1922;-0.51;EUR;-2097.61;EUR
1516233600000;14:08;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5;459.4;EUR;-2297.0;EUR;-2297.0;EUR;;-2.46;EUR;-2299.46;EUR
1516233600000;16:25;BITCOIN TRACKER EUR XBT PROVIDER;SE0007525332;;OMX;.ST;;5;473.0;EUR;2365.0;EUR;2365.0;EUR;;-2.47;EUR;2362.53;EUR
1516320000000;10:13;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30;86.93;EUR;-2607.9;EUR;-2607.9;EUR;;-2.52;EUR;-2610.42;EUR
1516320000000;14:17;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30;87.5;EUR;2625.0;EUR;2625.0;EUR;;-2.5300000000000002;EUR;2622.47;EUR
1516579200000;10:09;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30;87.01;EUR;-2610.3;EUR;-2610.3;EUR;;-2.52;EUR;-2612.82;EUR
1516579200000;10:53;COINSHARES XBT PROVIDER ETHER TRACKER EURO;SE0010296582;;OMX;.ST;;30;87.5;EUR;2625.0;EUR;2625.0;EUR;;-2.5300000000000002;EUR;2622.47;EUR
