Fecha;Hora;Producto;ISIN;Ticker;Bolsa;Exchange Yahoo;Exchange Google;Cantidad;Precio;Precio Divisa;Valor Local;Valor Local Divisa;Valor;Valor Divisa;Tipo de cambio;Costes Transacción;Costes Transacción Divisa;Total;Total Divisa
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ISLAND;;NASDAQ;85.0;57.53;USD;-4890.05;USD;-4890.05;USD;1.0;-1.0;USD;-4891.05;USD
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ISLAND;;NASDAQ;10.0;57.53;USD;-575.3;USD;-575.3;USD;1.0;-0.0;USD;-575.3;USD
04-10-2023;10:02;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ISLAND;;NASDAQ;5.0;57.53;USD;-287.65;USD;-287.65;USD;1.0;-0.0;USD;-287.65;USD
04-10-2023;12:16;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ARCA;;NASDAQ;44.0;58.26;USD;2563.44;USD;2563.44;USD;1.0;-1.02688752;USD;2562.41311248;USD
04-10-2023;12:16;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ARCA;;NASDAQ;56.0;58.26;USD;3262.56;USD;3262.56;USD;1.0;-0.03422048;USD;3262.52577952;USD
19-10-2023;09:35;PAYPAL HOLDINGS INC;US70450Y1038;PYPL;ISLAND;;NASDAQ;50.0;55.77;USD;-2788.5;USD;-2788.5;USD;1.0;-1.0;USD;-2789.5;USD
11:11:05;00:00;URANIUM ROYALTY CORP;CA91702V1013;URC;TSXDARK;;TSE;300.0;3.055;CAD;-916.5;CAD;-916.5;CAD;1.0;-3.0;CAD;-919.5;CAD
11:11:05;00:00;URANIUM ROYALTY CORP;CA91702V1013;URC;TRIACT;;TSE;200.0;3.055;CAD;-611.0;CAD;-611.0;CAD;1.0;-2.0;CAD;-613.0;CAD
11:11:05;00:00;URANIUM ROYALTY CORP;CA91702V1013;URC;ALPHA;;TSE;81.0;3.06;CAD;-247.86;CAD;-247.86;CAD;1.0;-0.81;CAD;-248.67000000000002;CAD
11:11:05;00:00;URANIUM ROYALTY CORP;CA91702V1013;URC;CAIBFRSH;;TSE;0.8627;3.06;CAD;-2.639862;CAD;-2.639862;CAD;1.0;-0.008627;CAD;-2.648489;CAD
11:11:05;00:00;URANIUM ROYALTY CORP;CA91702V1013;URC;TSXDARK;;TSE;400.0;3.055;CAD;-1222.0;CAD;-1222.0;CAD;1.0;-4.0;CAD;-1226.0;CAD
03:05:23;00:00;SPDR RUSSELL 2000 US S/C;IE00BJ38QD84;ZPRR;GETTEX2;;ETR;27.0;56.47;EUR;-1524.69;EUR;-1524.69;EUR;1.0;-3.0;EUR;-1527.69;EUR
10:39:41;00:00;INDIA CAPITAL GROWTH FND LTD;GB00B0P8RJ60;IGC;LSE;.L;LON;18.0;1.65;GBP;-29.7;GBP;-29.7;GBP;1.0;-3.0;GBP;-32.7;GBP
11:28:30;00:00;INDIA CAPITAL GROWTH FND LTD;GB00B0P8RJ60;IGC;LSE;.L;LON;788.0;1.65;GBP;-1300.2;GBP;-1300.2;GBP;1.0;-0.0;GBP;-1300.2;GBP
20:55:23;00:00;NEUSOFT EDUCATION TECHNOLOGY;KYG6460B1086;9616;SEHK;;HKG;800.0;2.39;HKD;-1912.0;HKD;-1912.0;HKD;1.0;-20.054492;HKD;-1932.054492;HKD
00:05:59;00:00;NEUSOFT EDUCATION TECHNOLOGY;KYG6460B1086;9616;SEHK;;HKG;800.0;2.39;HKD;-1912.0;HKD;-1912.0;HKD;1.0;-2.054492;HKD;-1914.054492;HKD
21:31:13;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;7.27;HKD;-3635.0;HKD;-3635.0;HKD;1.0;-22.1035975;HKD;-3657.1035975;HKD
21:20:19;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;6.74;HKD;-3370.0;HKD;-3370.0;HKD;1.0;-22.096045;HKD;-3392.096045;HKD
21:44:09;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;6.6;HKD;-3300.0;HKD;-3300.0;HKD;1.0;-22.09405;HKD;-3322.09405;HKD
21:38:10;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;6.6;HKD;-3300.0;HKD;-3300.0;HKD;1.0;-22.09405;HKD;-3322.09405;HKD
22:43:02;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;5.58;HKD;-2790.0;HKD;-2790.0;HKD;1.0;-21.079515;HKD;-2811.079515;HKD
22:45:06;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;5.58;HKD;-2790.0;HKD;-2790.0;HKD;1.0;-3.079515;HKD;-2793.079515;HKD
22:52:18;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;5.58;HKD;-2790.0;HKD;-2790.0;HKD;1.0;-3.079515;HKD;-2793.079515;HKD
22:54:57;00:00;KANGJI MEDICAL HOLDINGS LTD;KYG5215A1004;9997;SEHK;;HKG;500.0;5.58;HKD;-2790.0;HKD;-2790.0;HKD;1.0;-3.079515;HKD;-2793.079515;HKD
